variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,1,0.07412720657369415,0.03736272740243661,0.07243098151503187,0.03637018292373011,True,0.0008,0.2180185765028,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.26254186157291853,0.16772867864965724,0.16342989828115628,0.025921619402121347,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,2,0.07165954203762635,0.03612559632141404,0.07077183163360046,0.03596273286709213,True,0.0008,0.23169565200805664,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24878937359209413,0.16008339812257877,0.1623389433262458,0.02426183591027118,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,3,0.07080810969236233,0.035888380466152385,,,False,0.0008,0.2353719174861908,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,4,0.07049376196264552,0.035776849331322386,0.07015825379409908,0.03570293477923514,True,0.0008,0.23800083994865417,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24803523897924007,0.15234787455779802,0.16203871946008386,0.02551332746917752,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,5,0.07020059632777811,0.03564554396145717,,,False,0.0008,0.24107833206653595,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,6,0.06991421429463375,0.03551034557236253,0.06960353633905234,0.03545451465111924,True,0.0008,0.24551059305667877,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24748922054280603,0.14636258517050182,0.16184458557671033,0.024587619984909208,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,7,0.06969590635278276,0.03540956901140397,,,False,0.0008,0.2493208795785904,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,8,0.06954051380272533,0.035339952193638204,0.06938562523636352,0.03533410975577855,True,0.0008,0.25224584341049194,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24766863558763338,0.14411745003845822,0.16174906321647592,0.02404507394173464,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,9,0.06938557391460139,0.03526955400285228,,,False,0.0008,0.2560557425022125,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,10,0.06928337886901638,0.03521628033828298,0.06919175354820309,0.03523834904636999,True,0.0008,0.2591128647327423,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24750467781667357,0.1417359687898028,0.16186025592213127,0.023948787556653875,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,11,0.06918608782735604,0.03517695862926707,,,False,0.0008,0.26232707500457764,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,12,0.06909542540419293,0.03513085299658945,0.0690047390332527,0.03515743969967871,True,0.0008,0.2651141285896301,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2472288122448723,0.14021143880489834,0.16150648519982125,0.023940413243290954,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,13,0.06898774200004448,0.03509258754074774,,,False,0.0008,0.2685319185256958,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,14,0.06894211302000264,0.03508495778636989,0.06898411893182331,0.0351351050917147,True,0.0008,0.2710515856742859,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2472203378457948,0.13967509225897248,0.16166976583927167,0.024468479288363564,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,15,0.06881856629286996,0.03503574038539716,,,False,0.0008,0.2747674882411957,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,16,0.06878482836420242,0.03502831886931167,0.06907839641459997,0.035177059204021824,True,0.0008,0.2778796851634979,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2475777237737754,0.13962300770009808,0.16177330812821886,0.02569637456584793,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,17,0.06871850917368759,0.03500272577208301,,,False,0.0008,0.28097426891326904,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,18,0.06864408883672059,0.03499284821934928,0.06903130989249975,0.03507878162995332,True,0.0008,0.28357332944869995,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2481948490295346,0.13904799992254152,0.1622953087492824,0.025477205471090728,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,19,0.06861231411457776,0.03498653660898034,,,False,0.0008,0.28759244084358215,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,20,0.06848437979599978,0.03493719448032693,0.06898418697209738,0.03505567062382746,True,0.0008,0.2916129529476166,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.24807798845064225,0.13903264198305898,0.16241401817929732,0.024184488051484196,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,21,0.06839133286594319,0.0349125239704037,,,False,0.0008,0.295564740896225,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,22,0.06832470573872339,0.03491088370905804,0.0690874384208159,0.03510444326081661,True,0.0008,0.2993054687976837,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.248643127511915,0.13910245076908942,0.16272316453633484,0.023835950655032755,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,23,0.06825402939069865,0.03490094845850415,,,False,0.0008,0.3035697638988495,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,24,0.06819350446793546,0.03489374843427094,0.06925322814320876,0.03511006838561576,True,0.0008,0.3070741891860962,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.249667699165082,0.1395321128544984,0.16344599819812175,0.025018129517417297,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,25,0.06807588168043258,0.03488300262660825,,,False,0.0008,0.31163808703422546,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,26,0.06796973014074098,0.03485284246256233,0.06935932311144742,0.035102330050384156,True,0.0008,0.3161377012729645,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2504517312938249,0.1393221919785445,0.16472182894662843,0.02367714059055186,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,27,0.0679519931904573,0.0348658653284854,,,False,0.0008,0.32095327973365784,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,28,0.06794722131796646,0.0348662499964148,0.0696101467985363,0.03512938775950008,True,0.0008,0.3247733414173126,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.2514588980595806,0.13976212843299313,0.16636822175497962,0.024374885197340036,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,29,0.06777802869716566,0.03484554919513522,,,False,0.0008,0.3289324939250946,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,30,0.06768019058108553,0.03483239658179686,0.06965544830200782,0.035061103651586475,True,0.0008,0.3343540132045746,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25219265433941895,0.139644125277881,0.16685856011780825,0.026131109153281158,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,31,0.06751003110627311,0.0348030389368456,,,False,0.0008,0.33903470635414124,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,32,0.0674005750827338,0.03477166690158121,0.06974023357619073,0.03503026906087342,True,0.0008,0.34445106983184814,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25291497128379065,0.1392799555954307,0.1679396655958242,0.026150691215321004,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,33,0.06730351725065704,0.03477018061945869,,,False,0.0008,0.35100141167640686,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,34,0.06710832385514232,0.03475776389436333,0.07001737011669729,0.03509472257193224,True,0.0008,0.3566555976867676,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25497719969947463,0.13955654508939094,0.1686291417188516,0.02728730227493009,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,35,0.06703672582653636,0.034753586140869264,,,False,0.0008,0.361623615026474,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,36,0.06688867567676397,0.034738795092176776,0.07036189877257738,0.03508760507493442,True,0.0008,0.36700600385665894,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25608805697641257,0.1400224431563173,0.17222766060085276,0.026210904665767944,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,37,0.06675985599117158,0.03471379696213481,,,False,0.0008,0.374154657125473,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,38,0.06671122234388545,0.034726948715576376,0.07034897424790729,0.035082988766273936,True,0.0008,0.37907832860946655,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",0.25695829534637676,0.1398159871364951,0.17177395775462642,0.02541309927499254,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
task2_C4_history_slim,task2_C4_history_slim,random,z_window_frequency_context,True,39,0.06681041445261167,0.0347352028322318,,,False,0.0008,0.3842124044895172,19,1024,0.03,0.03,0.06,0.04,0.08,0.02,"[0, 20]",,,,,0.12,0.0001,False,True,single,linear,False,False,24,64,2,embedding,False,False,False,0,single_slim,H24_D64_embedding_layers2,no_direct_freq_window_freq_context
