value,variant,model_bce,delta_bce_vs_baseline,n_trials,improvement_vs_pattern
1.0,hist_H40_D32,0.026821007952094,-0.0014846175909043018,7,0.062258884169386
1.5,hist_H40_D64,0.0275172386318445,-0.0015997439622878994,12,0.1101550481963045
2.0,hist_H24_D96,0.0299703925848007,-0.0014144890010356972,15,0.1265716733418644
2.5,hist_H24_D64_layers2,0.0298643987625837,-0.0006543900817632987,7,0.1378166562272534
3.0,hist_H40_D96,0.0306193903088569,-0.0010960139334201952,15,0.111206533834919
3.5,hist_H24_D64_layers2,0.0292589217424392,-0.0015236120671033998,24,0.1397222468973181
4.0,hist_H24_D64_layers2,0.021565617993474,-0.0017140489071607,25,0.1608807816059798
4.5,hist_H8_D32,0.0272731315344572,-0.0008611157536505994,20,0.1057723260703276
5.0,hist_H40_D96,0.0216779746115207,-0.0011077132076024974,25,0.1743140966337667
5.5,hist_H24_D64_layers2,0.0201350543648004,-0.0005005709826945981,29,0.1296812163614625
6.0,hist_H24_D64_layers2,0.022447969764471,-0.000794934108853302,38,0.1491066498911995
6.5,hist_H40_D64,0.0241181850433349,-0.00038714706897740106,34,0.1200961969387002
7.0,hist_H24_D96,0.0192282740026712,-0.0009074844419955999,36,0.1643646918678577
7.5,hist_H24_D64_layers2,0.0234785433858633,-0.0012680236250161986,44,0.1087672640390427
8.0,hist_H16_D64,0.0231619831174612,-0.001673869788646698,42,0.1149153514239441
8.5,hist_H24_D64_layers2,0.0249099675565958,-0.0005468633025884004,44,0.0819034410642185
9.0,hist_H24_D64_layers2,0.0157525446265935,-0.0016217753291129997,48,0.1847833306069742
9.5,hist_H40_D64,0.0252033732831478,-0.0006581060588359,48,0.1110121956812048
10.0,hist_H24_D64_layers2,0.0235650036484003,-3.194250166409923e-05,59,0.1056230727461429
10.5,hist_H40_D32,0.0276425797492265,-0.0011120680719613994,56,0.0838930771118288
11.0,hist_H40_D64,0.0191039089113473,-0.0011055916547775997,68,0.1491771110855238
11.5,freq_rbf32,0.0239978842437267,-0.00048441812396050193,56,0.0946725246531248
12.0,hist_H40_D64,0.0254909545183181,-0.0004158969968558017,71,0.1004005990251051
12.5,hist_H16_D64,0.0210161637514829,-0.0005642883479594976,72,0.0987961309223097
13.0,hist_H40_D96,0.02584108710289,-0.0005997139960527004,70,0.0870660927332823
13.5,hist_H24_D64_layers2,0.0222681239247322,-0.0007315408438443999,70,0.1239593951703229
14.0,hist_H40_D96,0.0280914735049009,-0.0010956730693578998,80,0.08158593655277
14.5,hist_H24_D64_layers2,0.0308722406625747,-0.0007538869976998,76,0.0676562070551048
15.0,hist_H24_D64_layers2,0.0261859111487865,-0.0003820415586233,81,0.0876424255285733
15.5,hist_H40_D64,0.0262433998286724,-0.00039547495543950165,96,0.0809553777997646
16.0,hist_H40_D64,0.0282084979116916,-0.000947333872318299,75,0.0744754005387778
16.5,hist_H24_D96,0.0229860935360193,-0.0006110109388828,92,0.0850547270144055
17.0,hist_H40_D64,0.0272763241082429,-0.000657871365547201,83,0.0697016163035214
17.5,hist_H24_D64_layers2,0.031981810927391,-0.0009314566850662023,109,0.0652901491650701
18.0,hist_H40_D96,0.0264832824468612,-0.0005100425332785,103,0.0869536403427655
18.5,hist_H40_D96,0.0276351626962423,-0.00023181177675719866,100,0.0691736329307358
19.0,hist_H40_D64,0.02869195304811,-0.0005395226180552985,100,0.0572316561705007
19.5,hist_H40_D96,0.0295394975692033,-0.000512737780809399,123,0.0595584622320044
20.0,hist_H24_D64_layers2,0.0308718718588352,-0.00047438964247700083,103,0.0648347801673007
20.5,hist_H40_D96,0.0342006385326385,-0.0002939477562904011,131,0.0572401747245065
21.0,hist_H40_D96,0.0386103428900241,-0.0006614066660404969,131,0.0794990543545209
21.5,hist_H40_D64,0.0291012246161699,-0.0006899517029524023,129,0.0677350951505532
22.0,hist_H40_D64,0.0272561311721801,-0.0004730857908726016,112,0.0578485088817575
22.5,hist_H24_D64_layers2,0.0333186611533165,-0.0007454641163349013,124,0.0824908899579135
23.0,hist_H24_D64_layers2,0.0317230708897113,-0.0003442168235779017,140,0.059354076168752
23.5,hist_H40_D64,0.0340090505778789,-0.0005451887845992973,120,0.0552076135328374
24.0,hist_H24_D64_layers2,0.0304225198924541,-0.000544469803571701,117,0.062520534131946
24.5,hist_H40_D64,0.0335161872208118,-0.000792656093835796,132,0.0561449491838798
25.0,hist_H40_D64,0.0321444272994995,-0.0005027912557125022,112,0.0744766682677157
25.5,hist_H24_D64_layers2,0.031841192394495,-0.0005966350436209938,145,0.0484554568469853
26.0,hist_H40_D96,0.0335233435034751,-0.0004131719470025011,138,0.0589692539697993
26.5,C4_linear_H24_D64_freq_rbf16,0.038728792220354,0.0,158,0.0424795148892948
27.0,hist_H24_D64_layers2,0.0337655059993267,-0.00040731206536290254,140,0.0490923170101083
27.5,hist_H40_D96,0.0327264666557312,-0.00032799690961830136,157,0.0443765635040024
28.0,hist_H40_D64,0.0401315093040466,-0.0008192807435988964,149,0.0684661052241273
28.5,hist_H40_D96,0.0373287424445152,-0.0005879774689673961,166,0.0656832883938699
29.0,hist_H40_D64,0.0333009138703346,-0.0006018951535225053,169,0.0585825089614341
29.5,hist_H40_D96,0.037791159003973,-0.0005451254546642026,147,0.0633099673753153
30.0,hist_H24_D64_layers2,0.0361881032586097,-0.0007004402577876975,161,0.0597654100581272
30.5,hist_H24_D64_layers2,0.0355178005993366,-0.0005780197679995935,166,0.0517389178097682
31.0,hist_H40_D64,0.0386618748307228,-0.0008289366960524958,165,0.0659823107353439
31.5,hist_H24_D64_layers2,0.0385272949934005,-0.0005950853228569031,155,0.0651131761643043
32.0,hist_H24_D64_layers2,0.0384056605398654,-0.0007991008460522045,165,0.0612204850065322
32.5,hist_H24_D64_layers2,0.0367940701544284,-0.0004134997725487033,172,0.0515546431684084
33.0,hist_H24_D64_layers2,0.033592015504837,-0.00027199462056159973,208,0.0548811726855233
33.5,hist_H24_D64_layers2,0.0397531203925609,-0.00047689676284789345,182,0.0554490087130995
34.0,hist_H24_D64_layers2,0.0408833436667919,-0.0008825846016407013,185,0.0684193455368876
34.5,hist_H40_D96,0.0383013151586055,-0.0005416609346867024,200,0.0614873027229693
35.0,hist_H24_D64_layers2,0.0362167246639728,-0.0005928613245487005,203,0.0537742151618769
35.5,hist_H24_D64_layers2,0.0387316197156906,-0.0005323290824889998,212,0.0573280586195366
36.0,hist_H40_D64,0.0392148792743682,-0.00028243288397789695,180,0.0634908024423857
36.5,hist_H24_D64_layers2,0.0415634848177433,-0.0006327964365481983,205,0.0554786592995256
37.0,hist_H40_D96,0.0398193933069705,-0.00042869523167619883,204,0.0585010833158784
37.5,hist_H24_D64_layers2,0.0426609367132186,-0.0006741955876351027,216,0.0687490073897772
38.0,hist_H24_D64_layers2,0.0370930805802345,-0.00034019351005550036,219,0.0531710043629587
38.5,hist_H24_D64_layers2,0.0350651070475578,-0.00011951476335519962,182,0.048098217605826
39.0,hist_H40_D96,0.0368407182395458,-0.0004262514412402968,209,0.061846380179439
39.5,hist_H24_D64_layers2,0.0378571115434169,-0.000569079071283396,225,0.0686499839431749
40.0,hist_H40_D64,0.0383846387267112,-0.0006578601896763056,223,0.0692058645516219
