variant,base_variant,split_id,description,changes,deploy_context_mode,use_z_gru_state,question,needs_base_predictions,context_feature_names,context_dim,context_has_frequency_fields,experiment_group,history_strategy,freq_strategy,z_history_len,z_gru_hidden_dim,z_gru_layers,dropout,weight_decay,aux_count_weight,aux_psth_weight,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,train_patterns,val_patterns,best_val_bce,best_epoch,val_global_bce,val_pattern_bce,improvement_vs_global_percent,improvement_vs_pattern_percent,total_count_corr_model,total_count_corr_pattern,total_count_mae_model,total_count_mae_pattern,n_params,epochs_run,final_train_bce,final_val_bce,final_val_train_gap,device,gpu_id,elapsed_min,best_model_path
freq_rbf32,freq_rbf32,shared_random,Direct frequency encoder with more RBF bins.,{'freq_rbf_dim': 32},z_window_summary,True,rbf_resolution,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,frequency,H24_D64_embedding,direct_rbf32_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03451577083497202,92,0.038230784237384796,0.03627234324812889,9.71804330680503,4.843478590413281,0.8776434227722156,0.6767576458137138,30.224140167236328,46.87173843383789,300882,140,0.03239729382568783,0.03478067581082969,0.002383381985141861,cuda:0,7,10.393487457434336,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_rbf32/best_model_this_variant.pth
freq_direct_only_nofreq_context,freq_direct_only_nofreq_context,shared_random,Keep direct frequency encoder but remove frequency-derived continuous context columns.,{'deploy_context_mode': 'z_window_no_frequency_context'},z_window_no_frequency_context,True,context_frequency_ablation,False,"['delta_t', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",9,False,frequency,H24_D64_embedding,direct_rbf16_no_frequency_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.034545341901706925,76,0.038230784237384796,0.03627234324812889,9.638004314349196,4.759118078322173,0.8786121273816738,0.6767576458137138,29.911455154418945,46.87173843383789,294162,124,0.03277325452383074,0.03464346906770226,0.0018702145438715193,cuda:0,1,9.259635015328724,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/freq_direct_only_nofreq_context/best_model_this_variant.pth
hist_H40_D32,hist_H40_D32,shared_random,Grid point: 40-step z-history window with GRU hidden dimension 32.,"{'z_history_len': 40, 'z_gru_hidden_dim': 32}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H40_D32_embedding,direct_rbf16_plus_context,40,32,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03458676931231913,102,0.038230784237384796,0.03627234324812889,9.53151951893194,4.646883883516764,0.8714544610191516,0.6767576458137138,30.806015014648438,46.87173843383789,272338,150,0.032791115038356126,0.03476557889252935,0.001974463854173221,cuda:0,3,11.178584388891856,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H40_D32/best_model_this_variant.pth
hist_H24_D64_bits,hist_H24_D64_bits,shared_random,Use four pattern bits inside the z-history GRU instead of categorical history embeddings.,{'z_history_pattern_mode': 'bits'},z_window_summary,True,history_pattern_encoding,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H24_D64_bits,direct_rbf16_plus_context,24,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,bits,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.034693682408660616,110,0.038230784237384796,0.03627234324812889,9.256761852718508,4.357291314800793,0.8690375843047831,0.6767576458137138,31.034950256347656,46.87173843383789,296786,158,0.03241368061732229,0.0349569034220193,0.002543222804697008,cuda:0,4,11.469542344411215,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H24_D64_bits/best_model_this_variant.pth
hist_H16_D96,hist_H16_D96,shared_random,Grid point: 16-step z-history window with GRU hidden dimension 96.,"{'z_history_len': 16, 'z_gru_hidden_dim': 96}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H16_D96_embedding,direct_rbf16_plus_context,16,96,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03474413574778806,48,0.038230784237384796,0.03627234324812889,9.117078512463534,4.210066096779603,0.8672962898053178,0.6767576458137138,31.249122619628906,46.87173843383789,335570,96,0.032884472533865367,0.03494979996740082,0.0020653274335354563,cuda:0,6,7.403372128804524,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H16_D96/best_model_this_variant.pth
hist_H16_D64,hist_H16_D64,shared_random,Grid point: 16-step z-history window with GRU hidden dimension 64.,"{'z_history_len': 16, 'z_gru_hidden_dim': 64}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H16_D64_embedding,direct_rbf16_plus_context,16,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.0347841050321138,68,0.038230784237384796,0.03627234324812889,9.012620514030795,4.099968131157898,0.8593078629568582,0.6767576458137138,31.84071922302246,46.87173843383789,297810,116,0.033002395646523276,0.03500865009580932,0.002006254449286045,cuda:0,5,8.619891520341238,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H16_D64/best_model_this_variant.pth
hist_H24_D32,hist_H24_D32,shared_random,Grid point: 24-step z-history window with GRU hidden dimension 32.,"{'z_history_len': 24, 'z_gru_hidden_dim': 32}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H24_D32_embedding,direct_rbf16_plus_context,24,32,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03486899010728371,44,0.038230784237384796,0.03627234324812889,8.790140568115094,3.86547589691585,0.8325915798237288,0.6767576458137138,34.634788513183594,46.87173843383789,272338,92,0.03388396444679243,0.03499765263078055,0.001113688183988118,cuda:0,7,6.942754447460175,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H24_D32/best_model_this_variant.pth
hist_H16_D32,hist_H16_D32,shared_random,Grid point: 16-step z-history window with GRU hidden dimension 32.,"{'z_history_len': 16, 'z_gru_hidden_dim': 32}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H16_D32_embedding,direct_rbf16_plus_context,16,32,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.03492452067257178,44,0.038230784237384796,0.03627234324812889,8.644873791936428,3.7123657783068595,0.8220075993079758,0.6767576458137138,35.84701156616211,46.87173843383789,272338,92,0.033965466523823824,0.03505897815731238,0.0010935116334885586,cuda:0,4,6.927681187788646,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H16_D32/best_model_this_variant.pth
hist_H8_D32,hist_H8_D32,shared_random,Grid point: 8-step z-history window with GRU hidden dimension 32.,"{'z_history_len': 8, 'z_gru_hidden_dim': 32}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H8_D32_embedding,direct_rbf16_plus_context,8,32,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.034977276062992155,34,0.038230784237384796,0.03627234324812889,8.506418222931687,3.566434622195031,0.8193062821865384,0.6767576458137138,35.85447692871094,46.87173843383789,272338,82,0.03410583955744122,0.03512073589779445,0.001014896340353233,cuda:0,1,6.164971435070038,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H8_D32/best_model_this_variant.pth
hist_H8_D96,hist_H8_D96,shared_random,Grid point: 8-step z-history window with GRU hidden dimension 96.,"{'z_history_len': 8, 'z_gru_hidden_dim': 96}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H8_D96_embedding,direct_rbf16_plus_context,8,96,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.035010512009279765,28,0.038230784237384796,0.03627234324812889,8.420386537468753,3.475757855546334,0.8193444221886944,0.6767576458137138,36.138919830322266,46.87173843383789,335570,76,0.033680560771519444,0.035270532506583914,0.0015899717350644701,cuda:0,3,6.023426187038422,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H8_D96/best_model_this_variant.pth
hist_H8_D64,hist_H8_D64,shared_random,Grid point: 8-step z-history window with GRU hidden dimension 64.,"{'z_history_len': 8, 'z_gru_hidden_dim': 64}",z_window_summary,True,history_len_hidden_grid,False,"['prev_freq', 'delta_t', 'rolling_prev_freq3', 'freq_delta', 'zwin3_freq_mean', 'zwin3_freq_std', 'zwin3_last_freq', 'zwin3_current_minus_last_freq', 'zwin3_pattern_diversity', 'zwin3_same_current_pattern_frac', 'zwin5_freq_mean', 'zwin5_freq_std', 'zwin5_last_freq', 'zwin5_current_minus_last_freq', 'zwin5_pattern_diversity', 'zwin5_same_current_pattern_frac', 'zwin10_freq_mean', 'zwin10_freq_std', 'zwin10_last_freq', 'zwin10_current_minus_last_freq', 'zwin10_pattern_diversity', 'zwin10_same_current_pattern_frac', 'zwin20_freq_mean', 'zwin20_freq_std', 'zwin20_last_freq', 'zwin20_current_minus_last_freq', 'zwin20_pattern_diversity', 'zwin20_same_current_pattern_frac']",28,True,history,H8_D64_embedding,direct_rbf16_plus_context,8,64,1,0.12,0.0001,0.03,0.03,False,True,single,linear,True,False,embedding,True,True,False,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.035010602072667325,30,0.038230784237384796,0.03627234324812889,8.420016257250428,3.4753675829070034,0.8188249704753183,0.6767576458137138,36.0735969543457,46.87173843383789,297810,78,0.03385550172095704,0.03529512961421216,0.0014396278932551215,cuda:0,2,5.960870536168416,/home/bnn_10fs26/pands_ibnnwml/Final_Task/task2_C4_history_frequency_grid_outputs_task2_C4_history_frequency_grid_N5_DIV21_random/hist_H8_D64/best_model_this_variant.pth
